,CUID,Species,Year,Spawners,Recruits,KF_alpha,lnRS,Ricker_resid,R_S
1,171,Lake Sockeye,1950,NA,NA,NA,NA,NA,0
2,171,Lake Sockeye,1951,NA,NA,NA,NA,NA,0
3,171,Lake Sockeye,1952,NA,NA,NA,NA,NA,0
4,171,Lake Sockeye,1953,NA,NA,NA,NA,NA,0
5,171,Lake Sockeye,1954,NA,NA,NA,NA,NA,0
6,171,Lake Sockeye,1955,NA,NA,NA,NA,NA,0
7,171,Lake Sockeye,1956,NA,36364,NA,NA,NA,0
8,171,Lake Sockeye,1957,NA,29000,NA,NA,NA,0
9,171,Lake Sockeye,1958,NA,17821,NA,NA,NA,0
10,171,Lake Sockeye,1959,NA,13063,NA,NA,NA,0
11,171,Lake Sockeye,1960,7851,24892,NA,NA,NA,3.170551522
12,171,Lake Sockeye,1961,29720,34115,NA,NA,NA,1.147880215
13,171,Lake Sockeye,1962,22307,45957,NA,NA,NA,2.060205317
14,171,Lake Sockeye,1963,20187,34251,NA,NA,NA,1.696685986
15,171,Lake Sockeye,1964,4262,9364,NA,NA,NA,2.197090568
16,171,Lake Sockeye,1965,17720,6004,NA,NA,NA,0.338826185
17,171,Lake Sockeye,1966,18841,7202,NA,NA,NA,0.382251473
18,171,Lake Sockeye,1967,28038,12829,NA,NA,NA,0.4575576
19,171,Lake Sockeye,1968,33645,10620,NA,NA,NA,0.315648685
20,171,Lake Sockeye,1969,6729,4670,NA,NA,NA,0.694010997
21,171,Lake Sockeye,1970,5047,4901,NA,NA,NA,0.971071924
22,171,Lake Sockeye,1971,2579,14414,NA,NA,NA,5.58898798
23,171,Lake Sockeye,1972,8972,24950,NA,NA,NA,2.78087383
24,171,Lake Sockeye,1973,8972,29101,NA,NA,NA,3.243535444
25,171,Lake Sockeye,1974,3925,36483,NA,NA,NA,9.295031847
26,171,Lake Sockeye,1975,1346,31189,NA,NA,NA,23.17161961
27,171,Lake Sockeye,1976,6729,9233,NA,NA,NA,1.372120672
28,171,Lake Sockeye,1977,15701,17159,NA,NA,NA,1.092860327
29,171,Lake Sockeye,1978,20187,15696,NA,NA,NA,0.777530094
30,171,Lake Sockeye,1979,20187,12733,NA,NA,NA,0.630752464
31,171,Lake Sockeye,1980,33645,20469,NA,NA,NA,0.608381632
32,171,Lake Sockeye,1981,2019,24885,NA,NA,NA,12.32540862
33,171,Lake Sockeye,1982,10654,18205,NA,NA,NA,1.708747888
34,171,Lake Sockeye,1983,14580,24329,NA,NA,NA,1.668655693
35,171,Lake Sockeye,1984,8972,21355,NA,NA,NA,2.380182791
36,171,Lake Sockeye,1985,8972,25320,NA,NA,NA,2.822113241
37,171,Lake Sockeye,1986,23552,35611,NA,NA,NA,1.512015965
38,171,Lake Sockeye,1987,11215,31356,NA,NA,NA,2.79589835
39,171,Lake Sockeye,1988,14580,26054,NA,NA,NA,1.78696845
40,171,Lake Sockeye,1989,16747,25679,NA,NA,NA,1.533349257
41,171,Lake Sockeye,1990,11215,38954,NA,NA,NA,3.473383861
42,171,Lake Sockeye,1991,24673,52561,NA,NA,NA,2.130304381
43,171,Lake Sockeye,1992,17944,40313,NA,NA,NA,2.246600535
44,171,Lake Sockeye,1993,16823,11689,NA,NA,NA,0.694822564
45,171,Lake Sockeye,1994,14580,6470,NA,NA,NA,0.443758573
46,171,Lake Sockeye,1995,19066,12734,NA,NA,NA,0.667890486
47,171,Lake Sockeye,1996,28038,12120,NA,NA,NA,0.43227049
48,171,Lake Sockeye,1997,26916,18364,NA,NA,NA,0.682270768
49,171,Lake Sockeye,1998,12337,NA,NA,NA,NA,0
50,171,Lake Sockeye,1999,2243,NA,NA,NA,NA,0
51,171,Lake Sockeye,2000,6953,NA,NA,NA,NA,0
52,171,Lake Sockeye,2001,12112,15824,NA,NA,NA,1.306472919
53,171,Lake Sockeye,2002,4486,18666,NA,NA,NA,4.160945163
54,171,Lake Sockeye,2003,30281,11250,NA,NA,NA,0.371520095
55,171,Lake Sockeye,2004,NA,31296,NA,NA,NA,0
56,171,Lake Sockeye,2005,13734,35509,NA,NA,NA,2.585481287
57,171,Lake Sockeye,2006,5383,33669,NA,NA,NA,6.254690693
58,171,Lake Sockeye,2007,24673,34613,NA,NA,NA,1.402869533
59,171,Lake Sockeye,2008,1169,16195,NA,NA,NA,13.85372113
60,171,Lake Sockeye,2009,24112,12759,NA,NA,NA,0.529155607
61,171,Lake Sockeye,2010,37795,24078,NA,NA,NA,0.637068395
62,171,Lake Sockeye,2011,23327,21189,NA,NA,NA,0.908346551
63,171,Lake Sockeye,2012,36785,NA,NA,NA,NA,0
64,171,Lake Sockeye,2013,19963,NA,NA,NA,NA,0
