SpeciesId,StatArea.CU,CU_Name,BroodYear,Escape,TR2,TR3,TR4,TR5,TR6,TR7,Total,Total.ER,Age2,Age3,Age4,Age5,Age6,Age7
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1997,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1998,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,2000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,2001,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CK,CK-008,CK008-Middle Fraser-Fraser Canyon_SP_1.3,2002,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
